Training LSTM model...
Using device:  cuda
Training LSTM model...
Epoch [1/100], Train Loss: 0.6923, Train Accuracy: 0.5467, Val Loss: 0.6824, Val Accuracy: 0.5527, Val Precision: 0.5638, Val Recall: 0.1264, Val F1: 0.2065
Epoch [2/100], Train Loss: 0.6812, Train Accuracy: 0.5476, Val Loss: 0.6757, Val Accuracy: 0.5648, Val Precision: 0.5540, Val Recall: 0.2814, Val F1: 0.3732
Epoch [3/100], Train Loss: 0.6760, Train Accuracy: 0.5520, Val Loss: 0.6707, Val Accuracy: 0.5721, Val Precision: 0.5667, Val Recall: 0.3005, Val F1: 0.3927
Epoch [4/100], Train Loss: 0.6686, Train Accuracy: 0.5563, Val Loss: 0.6700, Val Accuracy: 0.5778, Val Precision: 0.5658, Val Recall: 0.3569, Val F1: 0.4377
Epoch [5/100], Train Loss: 0.6659, Train Accuracy: 0.5628, Val Loss: 0.6635, Val Accuracy: 0.5902, Val Precision: 0.5588, Val Recall: 0.5231, Val F1: 0.5403
Epoch [6/100], Train Loss: 0.6609, Train Accuracy: 0.5695, Val Loss: 0.6656, Val Accuracy: 0.5842, Val Precision: 0.5735, Val Recall: 0.3784, Val F1: 0.4559
Epoch [7/100], Train Loss: 0.6557, Train Accuracy: 0.5748, Val Loss: 0.6600, Val Accuracy: 0.5908, Val Precision: 0.5712, Val Recall: 0.4463, Val F1: 0.5011
Epoch [8/100], Train Loss: 0.6523, Train Accuracy: 0.5821, Val Loss: 0.6650, Val Accuracy: 0.5944, Val Precision: 0.5648, Val Recall: 0.5195, Val F1: 0.5412
Epoch [9/100], Train Loss: 0.6495, Train Accuracy: 0.5871, Val Loss: 0.6572, Val Accuracy: 0.5952, Val Precision: 0.5646, Val Recall: 0.5282, Val F1: 0.5458
Epoch [10/100], Train Loss: 0.6471, Train Accuracy: 0.5895, Val Loss: 0.6591, Val Accuracy: 0.5880, Val Precision: 0.5749, Val Recall: 0.4042, Val F1: 0.4747
Epoch [11/100], Train Loss: 0.6429, Train Accuracy: 0.5931, Val Loss: 0.6541, Val Accuracy: 0.6025, Val Precision: 0.5775, Val Recall: 0.5091, Val F1: 0.5412
Epoch [12/100], Train Loss: 0.6402, Train Accuracy: 0.5956, Val Loss: 0.6574, Val Accuracy: 0.5895, Val Precision: 0.5678, Val Recall: 0.4543, Val F1: 0.5047
Epoch [13/100], Train Loss: 0.6404, Train Accuracy: 0.5953, Val Loss: 0.6578, Val Accuracy: 0.6010, Val Precision: 0.6007, Val Recall: 0.3983, Val F1: 0.4790
Epoch [14/100], Train Loss: 0.6359, Train Accuracy: 0.6028, Val Loss: 0.6563, Val Accuracy: 0.5979, Val Precision: 0.6040, Val Recall: 0.3680, Val F1: 0.4574
Epoch [15/100], Train Loss: 0.6324, Train Accuracy: 0.6052, Val Loss: 0.6523, Val Accuracy: 0.6027, Val Precision: 0.5727, Val Recall: 0.5401, Val F1: 0.5559
Epoch [16/100], Train Loss: 0.6294, Train Accuracy: 0.6117, Val Loss: 0.6565, Val Accuracy: 0.5959, Val Precision: 0.5691, Val Recall: 0.5040, Val F1: 0.5346
Epoch [17/100], Train Loss: 0.6252, Train Accuracy: 0.6161, Val Loss: 0.6517, Val Accuracy: 0.6058, Val Precision: 0.5809, Val Recall: 0.5163, Val F1: 0.5467
Epoch [18/100], Train Loss: 0.6220, Train Accuracy: 0.6217, Val Loss: 0.6506, Val Accuracy: 0.6109, Val Precision: 0.5992, Val Recall: 0.4682, Val F1: 0.5257
Epoch [19/100], Train Loss: 0.6211, Train Accuracy: 0.6200, Val Loss: 0.6508, Val Accuracy: 0.6030, Val Precision: 0.5791, Val Recall: 0.5048, Val F1: 0.5394
Epoch [20/100], Train Loss: 0.6219, Train Accuracy: 0.6181, Val Loss: 0.6513, Val Accuracy: 0.6054, Val Precision: 0.5744, Val Recall: 0.5521, Val F1: 0.5630
Epoch [21/100], Train Loss: 0.6170, Train Accuracy: 0.6259, Val Loss: 0.6531, Val Accuracy: 0.5963, Val Precision: 0.5752, Val Recall: 0.4710, Val F1: 0.5179
Epoch [22/100], Train Loss: 0.6130, Train Accuracy: 0.6304, Val Loss: 0.6577, Val Accuracy: 0.5964, Val Precision: 0.5809, Val Recall: 0.4436, Val F1: 0.5030
Epoch [23/100], Train Loss: 0.6131, Train Accuracy: 0.6298, Val Loss: 0.6592, Val Accuracy: 0.5970, Val Precision: 0.5676, Val Recall: 0.5242, Val F1: 0.5450
Epoch [24/100], Train Loss: 0.6106, Train Accuracy: 0.6310, Val Loss: 0.6644, Val Accuracy: 0.5948, Val Precision: 0.5583, Val Recall: 0.5751, Val F1: 0.5666
Epoch [25/100], Train Loss: 0.6074, Train Accuracy: 0.6383, Val Loss: 0.6680, Val Accuracy: 0.5957, Val Precision: 0.5594, Val Recall: 0.5743, Val F1: 0.5668
Epoch [26/100], Train Loss: 0.6083, Train Accuracy: 0.6372, Val Loss: 0.6647, Val Accuracy: 0.5990, Val Precision: 0.5759, Val Recall: 0.4901, Val F1: 0.5295
Epoch [27/100], Train Loss: 0.6006, Train Accuracy: 0.6419, Val Loss: 0.6569, Val Accuracy: 0.6014, Val Precision: 0.5636, Val Recall: 0.5950, Val F1: 0.5789
Epoch [28/100], Train Loss: 0.6035, Train Accuracy: 0.6428, Val Loss: 0.6621, Val Accuracy: 0.5981, Val Precision: 0.5723, Val Recall: 0.5036, Val F1: 0.5357
Early stopping triggered
Final Validation Results - Loss: 0.6506, Accuracy: 0.6109, Precision: 0.5992, Recall: 0.4682, F1: 0.5257, ROC AUC: 0.6536
