2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 12:05 +07:00: Epoch [1/200], Train Loss: 0.6948, Train Accuracy: 0.5447, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 12:18 +07:00: Epoch [2/200], Train Loss: 0.6905, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 12:32 +07:00: Epoch [3/200], Train Loss: 0.6905, Train Accuracy: 0.5450, Val Loss: 0.6902, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 12:44 +07:00: Epoch [4/200], Train Loss: 0.6899, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 12:55 +07:00: Epoch [5/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 13:06 +07:00: Epoch [6/200], Train Loss: 0.6898, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 13:17 +07:00: Epoch [7/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 13:28 +07:00: Epoch [8/200], Train Loss: 0.6895, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 13:39 +07:00: Epoch [9/200], Train Loss: 0.6896, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 13:50 +07:00: Epoch [10/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 14:01 +07:00: Epoch [11/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 14:13 +07:00: Epoch [12/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 14:24 +07:00: Epoch [13/200], Train Loss: 0.6894, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
